,0
0,#Bologuruji guruji kya aap ne kabhi socha tha ke aap ka channel India me top hogan. Luv u guruji plz reply
1,@TechnicalGuruji Guruji Wo Muuch (Mustache) Rakh Kar Aap Bade Chutiye Lag Rahe Ho?  Kyun? #BoloGuruji
2,Honor 7c or Mi 5 which is better? #Bologuruji
3,#BoloGuruji Hlo Bhai maraa saval hai ke abhi mara pass 4g phone hai magar jab 5g aye tab fir se new phone lanaa padanga and love u bhai
4,"@TechnicalGuruji
Love you guruji
kanpur meet up kab kab????
love your new look
please up the question...
#Bologuruji"
5,@Bhavu2010 @SadhviDeva Jiii haaa bapujiii ko is shadyantra me isliye hii fasayaaa gaya takii wo dharm or sanskritii… https://t.co/kehhVU3ZOK
6,#Bologuruji bhai hai apne bh apple ki tarah notch rakh li choti si..
7,#Bologuruji aap apna number de do sir ji please sir sir
8,#Bologuruji guruji maine halhi mai realme 1 ka 4+64 wala variant buy kiya hai kya yeh mobile leke maine sahi kiya p… https://t.co/N0dizVQ0ID
9,#Bologuruji which phone to buy Huawei p20 lite or Moto g6 other love your videos and love you bhai
10,"Yeh Kya hua gaurav Bhai ko 😲 @TechnicalGuruji  
@emNikhil bro you forgot to blur it. 
#BoloGuruji https://t.co/hvoPgay0qT"
11,गरूजी आपने दाढ़ी निकाल दी इस वजह से क्या आपको अजिब नहीं लग रहा क्यों की मुझे भी न चाहते हुए passport साइज फोटो के… https://t.co/3lfxPggKPe
12,#BoloGuruji Please start a gaming channel I would love seeing some gameplay videos by you by the way love your videos
13,#Bologuruji how is this possible ?¿???🤔🤔🤔🤔🤔🤔 https://t.co/ILS1t4y0zC
14,#Bologuruji sir mere channel pe 3528 subscribers ha isko kaise increase karu? And why is the rear camera is big and… https://t.co/SWGcRcevIC
15,"#bologuruji mera sawal ye hai ki.         Muze iPhone Lena hai, kya.     iPhone se.   lelu ya phir.    IPhone se2.… https://t.co/FpaUZxc2fa"
16,"@TechnicalGuruji Sir please tell me that I should give my username and password in the net banking option to my selected bank??
#Bologuruji"
17,#BoloGuruji aapki har video amazing hoti love u bhaiya
18,Gaurav bhai clean slave me kaafi acche lagte rahe ho jitna expect Kiya tha usse kahi Jada 😊 #Bologuruji
19,#Bologuruji HII BRO. I AM SUBSCRIBED YOUR CHANNEL WHEN YOU HAVE 500K+ SUB'S. AND MY QUESTION IS I AM A STUTTERED PE… https://t.co/onePshBJqn
20,@TechnicalGuruji Tech talks late ho gayi bhai aaj. Was waiting for it since an hour. Ab sone ka time ho gaya inteza… https://t.co/hQNK4LpjsL
21,#Honor10 checkout which #iPhone you should buy in 2018 between iPhone SE and iphone 6 https://t.co/AjEBKHn7nl do ch… https://t.co/4fDolPfwRB
22,Hello Gaurav bhai love ur video koi bhi video miss nahi krta apki and plz muucch hta do aap and mera qus ye h ki ma… https://t.co/TRqFj5otUR
23,"Hahaha #Bologuruji muche acchi nehi hai 
Clean kardo please #Technicalguruji https://t.co/v7vopz5aOR"
24,"@TecGuruji_FC #bologuruji
Garwalo ka reaction aapke dadhi ko lekar..."
25,@AsaramBapuJi Bapujii ke sabhii ashramo se sabhii sewa karya lagataar kiye ja rahe h sadhuwaad h sabhii sewadhariyoo ko #BoloGuruji
26,@AsaramBapuJi Bahut sunder baat #BoloGuruji
27,"#BoloGuruji

Guruji aap to camera me dikh gai ...
Hahahahaha https://t.co/cSSJnDdpo8"
28,"@technicalgruji #bologuruji
Bhiya kaya asus ka 15000 k under koi accha phone hai kaya"
29,RT @TechnicalGuruji: Pucho saare sawaal Sunday Tech Masala ke liye..Kuch Masaledaar banaate hai..#BoloGuruji
30,"#Bollywood #Bologuruji #MoviebuffS2 #movietwit #BollywoodCelebs #KarwaanTrailerOutNow #actor #fathersday2018
Super… https://t.co/ZQyzPMhfzF"
31,which one is better to opt realme 1 or xiomi Note 5? #Bologuruji @TechnicalGuruji
32,"RT @ankitcrazytech: #BoloGuruji
Kya Baat Hai Guruji Video To Kati Zeher Hai Zeher https://t.co/tPUEr9dCoU"
33,"@TechnicalGuruji 

#BoloGuruji kabhi mera sawal pick nahi karte ho ek baar toh kar lo by the way mera sawal ye heah… https://t.co/g6N7JpOCOU"
34,@technicalgruji https://t.co/XBsp9kOZIq #BoloGuruji
35,Looking awesome guruji....#Bologuruji https://t.co/k5bqSLABcO
36,#Bologuruji apke channel ke liye sharmaji ko chhorke sabse bara haat kiska hai?
37,#BoloGuruji Guruji aap Akola Maharashtra ko aao please
38,आजकल ऐसे गुरुओं की भीड़ है जो अपने शिष्यों को गर्त में धकेलने को तैयार हैं... #BoloGuruji #copper @KarnikaKohli https://t.co/5oR54jxx4N
39,#BoloGuruji Guruji aap kiya kam korte ho. Bata o mujhe and love you bhai. I like your video so much.
40,#MNSquad  #BoloGuruji
41,"@TechnicalGuruji 
#Bologuruji 
Kaise ho gaurav bhai, 
Aapka naya look ko maine naya name diya h ( technical mario)😁… https://t.co/qpEoBf3Wwf"
42,#BoloGuruji ik episode guruji battery par bnao jaise battery charge karne ka sahi tarika or koi normal phone jaise… https://t.co/P4iNYbvOFu
43,@TechnicalGuruji Hello Bhaiya..25 k Tak best laptop Batao..#bologuruji
44,#BoloGuruji guruji app se ye kuch Sawalha hai ki app kise ko Twitter pe follow kyu nhi karte ho aur na hi karte ho… https://t.co/vQPXEtPiBP
45,"Konsa phone best hoga sir ji in teeno mein 
1.Asus zenfone max pro m1
2.Redmi y2
3.redmi note 5
Aap hote to konsa lete
#bologuruji"
46,@technicalgruji #Bologuruji hi bhai aaja to dari katke hero lag rege ho
