,0
42,With the #DusKaDum team listening to the #Race3 #Selfish song . Song out noon yaane 12 baje . Samjhe! https://t.co/OT3DWhO8Ez
43,check this out .. #Selfish on @gaana : https://t.co/akQQPdSa5h
44,"How chweet iz she lukin :) 
@Asli_Jacqueline https://t.co/dFkXBJfOiW"
45,Posting #Heeriye song . pole lo . wat u think abt it ? #Race3 @SKFilmsOfficial @tipsofficial @meetbros… https://t.co/WZp5DFeaUe
46,Buss mood Kiya tweet karneka. Toh Yeh raha Mera tweet . https://t.co/l9AADCF1jM
47,Welcome @DishPatani to the journey of @Bharat_TheFilm :) https://t.co/tRsKPLuUOE
48,RT @aaysharma: Kya is Navratri aap humare saath Garba khelenge? #Loveratri @BeingSalmanKhan @abhiraj21288 @Warina_Hussain  @SKFilmsOfficial…
49,"Catch the action packed #Race3Trailer tonight 8pm on #ZeeNetwork channels 

#Race3ThisEid @zeecinema… https://t.co/hS8Lqpn7pf"
50,"Intezaar hua khatam. Miliye meri #Race3 family se. #Race3Trailer OUT NOW : https://t.co/Dw8qTBR37U
 
#Race3ThisEid… https://t.co/AZr4VQqrxc"
51,1 .. 2 .. In 5 mins .. Maa Kasam !
52,Jis #Race se mujhe nikalne ki koshish kar rahe hai yeh bewakoof woh yeh nahi jaante ki is #Race ka Sikandar main hu… https://t.co/ZA381er6UP
53,Oh ho ho .
54,Race Official Trailer . https://t.co/8hC6m6KGIj
55,Ruko .
56,Aree re re .
57,Race Trailer . https://t.co/iMVTEJllFM
58,Kal ka jo doubt tha woh aaj mujhe doubtful lag raha hai 😊😉😘😎
59,Kal ka mujhe thoda doubtful lag raha hai 😉 😀 🤗 😘
60,Aa raha hun jald #DUSKADUM wapas lekar sirf @sonyTV par https://t.co/WVqLLOarmL
61,Sach Batau . We were not ready with the #Race3Trailer . Is liye itne posters banaye . But Intezar ka fal meetha hot… https://t.co/K4m5qbAJBt
62,"Achchi ho ya boori, life should never be flat. It’s time to #OwnYourFizz #FeelTheFizz @IamAppyFizz https://t.co/lzf5DmYRLx"
63,Seeing isn’t always believing in this #Race . Kaun kya hai pata chalega soon ! #Race3ThisEid @Asli_Jacqueline… https://t.co/3fSDUyMOOn
64,All the very best . Watch this teaser of #BhaveshJoshiSuperHero @HarshKapoor_ @AnilKapoor https://t.co/0bNQ6WOcag
65,Catch me soon on @sonyTv with #DusKaDum . https://t.co/hbCG5okWke
66,Racing hearts ♥ #Race3 #Songshoot in #Ladakh @Asli_Jacqueline @SKFilmsOfficial @tipsofficial #race3thisEid https://t.co/LuPw8o7jOt
67,Stream @TigerZindaHai on @PrimeVideoIN . https://t.co/BdPQKpUrAg 🐯 @yrf https://t.co/JT1o1JlSfe
68,"All set to travel the seven seas ! Next stop USA &amp; Canada . So be ready for #DabanggReloaded .

@DabanggTour2018… https://t.co/nEtjhZ2Tm5"
69,#Bharat .. welcomes u back home @priyankachopra . See u soon .. By the way humari film Hindi hai ;) . @atulreellife @aliabbaszafar #Eid2019
70,"My never seen avtaar in Bahamas. Check out my latest TVC. 

#RelaxoBahamas #KeepChillin #KeepFlippin https://t.co/narrhM68pP"
71,Jaao and visit the amazing beauty of #ArunachalPradesh - home to my buddy @matinrey_tangu ! Saath chaloge ?… https://t.co/7Ku9pAHF7z
72,Tears of gratitude . To all my loved ones who are with me and never lost hope . Thank you for being there with all… https://t.co/AuPEfy3oeo
73,"Great to be back in #AbuDhabi filming #Race3 @2454abudhabi @themalmheiri

https://t.co/BHILNGoniN"
74,Check this out . The TVC for Summer’18 @SplashFashions https://t.co/3RbzHYUcXB
75,"USA / Canada ... Agli Baari Tumhari ! Aa rahein hain hum ... swag ke saath ! 

#DabanggReloaded @DabanggTour2018… https://t.co/BHaz1tkKMN"
76,"Aur Yeh Hai the #Race3 family . Let the #Race begin #Race3ThisEid
@SKFilmsOfficial @tipsofficial @RameshTaurani… https://t.co/82qVikKkYw"
77,Shamsher: Bhaiji Humre boss . #Race3 #Race3ThisEid @AnilKapoor @SKFilmsOfficial @TipsOfficial https://t.co/F11soxP2uI
78,Rana: Bad is an understatement . #Race3 #Race3ThisEid @Freddydaruwala @SKFilmsOfficial @TipsOfficial https://t.co/8u22LtW2BQ
