,0
48,"स्याही सुख नही पाती है अखबार की।
 एक और खबर आ जाती हैं, बलात्कार की।।
#Modi2019SuperBoost #DelhiMetro… https://t.co/lCFZd4E4sh"
49,"RT @HatindersinghR: Rape Of A Kid In #Mandsaur !!

Hear This,You Can Differ With Me.

#justiceforDivya 
#rape 
#JusticeForSanskriti 
#sanju…"
50,"RT @VijaydhananiD: Who is Most Loved Actress of Bollywood 

RT 🔁#JenniferWinget
Like  #SurbhiChandna

#JenniferWinget #SurbhiChandna 
#Shiv…"
51,Stop reading newspapers is the moral of the movie! #Sanju
52,RT @SumitkadeI: Ranbir Kapoor acting in #Sanju cant be justified in words. It is like you are watching an actor performing in 5-6 different…
53,"RT @rohitjswl01: I think only #Zero can break #Sanju Non Holiday Day1 record for 2018...

For those Saying abt #ThugsOfHindostan its a Diwa…"
54,"RT @chupbesaale: Dear Srgians, before laughing over #Sanju challenging #Race3 collection. JUST remember somewhere its challenging SRK's all…"
55,"RT @ivivek_nambiar: Watched #Sanju. Here're a few points - 
1) Sanjay Dutt is not a terrorist.
2) He did drugs cuz bro pressure.
3) He kept…"
56,Can't explain...Only 2 words ...plz watch #Sanju ... u r a real hero...@duttsanjay ....love you lots...&amp;kudos @RanbirKapoor
57,"#TGIF: #Sanju Inspired, Best Gym Looks https://t.co/eqJboPs3SM https://t.co/yXMjqAd7PG"
58,RT @BeingTazwar: @LegendKhan5 @SumitkadeI @nikhs_tricks Tumne itna point diya .. aise ha to bollywood ki sab greatest actors kisi pe na kis…
59,RT @AmitHPanchal: #SanjuReview: #SalmanKhan Fans Feeling Sad After Reading Postive Reviews of #Sanju!
60,RT @ndtv: WATCH | First impressions of Ranbir Kapoor's #Sanju https://t.co/oH9GAENxrh
61,"RT @iammtk777: #Sanju in just two line : 
the best one in history of Bollywood &amp; a reality of the fucking paid media. hats off #VickyKausha…"
62,RT @RanbirKapoorFC: #SANJU is finally here! Hope you all like it. Please don't post any spoilers. Let everyone experience the film themselv…
63,RT @alishh2: So happy to see all the praise for Anushka in #Sanju 😅 I wasn’t expecting it! Can’t wait to watch it myself.
64,RT @karanjohar: Overall congratulations to the team of this BLOCKBUSTER!!!  VINOD CHOPRA and @foxstarhindi for the box office juggernaut ca…
65,"RT @meghnagulzar: #Sanju is a complex life narrated deftly, in inimitable @RajkumarHirani style.. #RanbirKapoor is talent unimaginable and…"
66,@RajkumarHirani @foxstarhindi @VVCFilms Awesome direction #sanju #SanjuReview #SanjuLeaked #RanbirKapoor mind blowi… https://t.co/fck8Ps1zTz
67,"#Sanju I love sanjay dutt and he is a rock star not a terrorist, What a movie mahnn just loved it, Every coin has t… https://t.co/IyvDlCfQwt"
68,RT @karanjohar: Encompassing such a tumultuous and rollercoaster life in this duration...and still holding onto the emotional energy and no…
69,"Would you hail #Kasab if his was a story of a misguided teenager, a victim of a situation? Even if #RajkumarHirani told it? #Sanju"
70,RT @SumitkadeI: #MovieReview watch out my short Video review of #Sanju - BLOCKBUSTER by all means. Rating- ⭐️⭐️⭐️⭐️ https://t.co/S4e1FbhvU9
71,"RT @taran_adarsh: Making a biopic isn’t child’s play, but Hirani and co-writer Abhijat Joshi encompass pertinent episodes from Dutt’s life…"
72,#Sanju is movie which rather than watching as biopic should be watched for just like any other movie
73,Best film of the year arrives with a BIG BANG !!! All awards this year for #Sanju @RajkumarHirani @AnushkaSharma… https://t.co/QymcJ7Ea3K
74,In the interval now.... Great story telling. Perfect movie. 4.75 out of 5 stars #Sanju https://t.co/u8JFE1U4CF
75,"RT @ViratsFangirl18: Career defining performance by Ranbir Kapoor.
No matter what goes wrong with your life one can always emerge as a winn…"
76,RT @IndrajitAdhya: I watched #Sanju today! on the first day! Another master class from #RajkumarHiraniFilms @RajkumarHirani Salute to @ranb…
77,"RT @rishteycineplex: Doston, ek baat poochhun?
Aisi kaunsi cheez hai jo apun mein aur apunke dost #RanbirKapoor mein, same to same hai?

#S…"
78,"RT @rohithkumar_19: Sanju movie - all time blockbuster
Race 3 movie - all time disaster
#SanjuReview #Sanju"
79,"#Sanju “Ranbir completely sheds his own identity and morphs into that of the character, imbibing even the tiniest o… https://t.co/xViLhiznLD"
80,"RT @NishSwish: Sooo since #Sanju whitewashes the story of Sanjay Dutt and my story's been taken off Tehelka's website, here's a PDF of the…"
81,RT @Uraj77: @AnushkaSharma love your performance and looks in #Sanju
82,"RT @MohitZade: Since Ranbir Kapoor is winning all the accoloades for #Sanju(Which he deserves), Paresh Sir's along with Vicky Kaushal's Per…"
83,"Read @NishSwish ‘s article 

https://t.co/E7X9lgDJ7N to understand how the ‘powerful’ ganged up to seek clemency fo… https://t.co/o4pkENeYOn"
84,"RT @VijaydhananiD: Who is the LOVE is BEAUTIFUL QUEEN👸 Bollywood Actress 2018

RT  #JenniferWinget 
Like  #Surbhichandna 

 #JenniferWinget…"
85,RT @karanjohar: Ranbir Kapoor is just such a BRILLIANT and GIFTED actor!!! What an outstanding portrayal! Never allowing mimickry to get th…
