,0
52,Thanks @nisha_narayanan for nominating me for the #HumFitTohIndiaFit challenge. Last eve was perfect to show One ho… https://t.co/TJTOEK3rkV
53,Hell yeah! #WorldEnvironmentDay2018 https://t.co/86vmoKYYLU
54,You didn’t go?? And yet you know:) Good job!! https://t.co/NSGV6hs0VO
55,The experiment is over. Elphinstone Bridge And Currey Road Bridge are two ways Again. It wasn’t working out in the… https://t.co/ml7B6JIyFE
56,Captain didn’t forget to put the fans first 😍😍😍 What a win! Congrats to the team and us who filled the stadium with… https://t.co/ezb3Yx6tnF
57,Hahaha. My Ajji boldesst ;) https://t.co/fBkugfNlQh
58,This @rjrishikapoor is the beshhttt dancer at any radio station this side of the equator I tell you and that woman… https://t.co/9f7SB5zmH0
59,"What the whatttt!!! Plants rolling across roads, coconut branches falling, banging windows, rain water inside , sca… https://t.co/P2oBprS58S"
60,Coz the Captain commanded most sweetly:)...We are gonna be there this eve as India takes on Kenya on the footy fiel… https://t.co/jM9Lrul1zN
61,Represent! We are there :) #redwithblue @RedFM_Mumbai @RedFMIndia https://t.co/iTC93KWgpl
62,It is!!! OMG! Somebody watch it quick and tell me if it will all be good. I’m watching with half of one eye open😃 https://t.co/jrQ8QSV912
63,Awww! This is a morning for teary-eyed-nesss messs! ❤️❤️❤️ https://t.co/9ijrwZb13m
64,"Bhai, reputation ka kya hai. SM par roz bante-bigadtey rehte hain magar ye jo sach ugla hai aapki saheliyon ne... m… https://t.co/5yOvh2gc98"
65,"You had me at hello, Captain... and then I teared up a little. I pledge my support in getting people there . Go Tea… https://t.co/2m5llUdgg1"
66,My grand mother wouldn’t be upset watching this film for the ‘masterabation’ scene. No Girl. Not for that.… https://t.co/RFj0qXE5CO
67,"Mausam ka bhi alag politics chalta hai! Baarish garaj ke aane ka announcement Karne kya lagi, phoolon ne apna mooh… https://t.co/hoqbkDNN9u"
68,Ahem! 😈 https://t.co/4D6LqkvjyU
69,"He is a cat, this one;) https://t.co/n2Vro8ZiKt"
70,Awwwwwwwwwe ❤️ https://t.co/XJ4uEcFiVC
71,Sonu is Alive!! 😳😄😄😄 #nightout #Mumbaipeeps https://t.co/dcmhcs6reW
72,Currey Road troubled you today? What about Elphinstone Bridge? Did you climb the footpaths with your vehicle! What’… https://t.co/H95JJnKGLZ
73,Memorise this map till the 15th of this month! Currey Road bridge and Elphinstone Bridge are one way each. The… https://t.co/yo2MtruBXz
74,Umm yes😈On my morning show tomorrow Catch this man who broke the internet;) @RedFM_Mumbai https://t.co/VXJsechhrO
75,Hosting a Chai Adda at my studio @Chaiforcancer with @vijivenkatesh and the Max Foundation. Thanks to all the liste… https://t.co/3HrSjiUILI
76,Dude! This Sanju trailer! Watched it while simultaneously Looking at a pic of Sanjay Dutt. Are we sure that’s Rabir… https://t.co/gTj73kSKlZ
77,"Ok now you’re just rubbing it in, Kim! 😡 You tell me about last night in detail! https://t.co/Mf63tjW6D3"
78,This is a shindae? Shinde ??Tizz!!! The highly glowing Kareena Kapoor gives us a new Dictionary of Mess! https://t.co/JG6U7qmngc
79,Maybe they should hold on till they get to Churchgate? Rumour has it that it never floods😄Also they’ll find a loo i… https://t.co/c96od5lfTA
80,"Are we #MumbaiRainReady? Which areas do you think need a glance?😈 We have covered : vile Parle(E), Andheri Kurla rd… https://t.co/wlFlYGXpHm"
81,#chaiforcancer tomorrow at my studio. I invite you.If you would like to come message me or call 66935935 and enjoy… https://t.co/GFawyHfxLV
82,"Starting this morning every morn ‘Are we Rain-Ready?’ happens on my morning Show. We are checking out the roads, th… https://t.co/HY0uYLE6kb"
83,"When would a new bride tell her husband , “Don’t touch me” ? Tell it like #SonamKapoor 😈 to The Mister Ahuja;) Chec… https://t.co/bLMQ64KZz7"
84,Agreed and how:) ❤️❤️❤️ https://t.co/gd3qx8kR7j
85,In the stadium NOW! Rooting for the #orangearmy #IPLfinal  #CSKvSRH #wankhede #garwarestand https://t.co/QsVNY3aqWR
86,Wooohoooo can’t wait to be In That stadium to cheer! #OrangeArmy https://t.co/k3l6U4fBiy
87,"Sports seem like the purest measure of human emotion! In a world where men are mostly encouraged to not cry, to see… https://t.co/f1gUEGOhzp"
88,RT @BinnySamuel1: @mymalishka you are the only one who can influence Mumbaikars..... Will  u plz urge the people in Mumbai to use dipper wh…
89,Accepted. Coming soon... https://t.co/G37FMNu3MK
90,"RT @RanaAyyub: Washington Post on the harassment I've undergone, UN's response, and the state of press freedom in India.  I hope the govern…"
