,0
50,Isn’t it beautiful !!!???!!! What magic by #Gulzar saab @ShankarEhsanLoy and @diljitdosanjh 👏🏼👏🏼👏🏼👏🏼👏🏼🏑… https://t.co/QvuhznbaeF
51,"RT @sonymusicindia: Trending soon after launch! 
That's the power of love! 
Lose yourself to the melodious tunes of #IshqDiBaajiyaan Out No…"
52,@HARRDYSANDHU @diljitdosanjh Thankq 🙏🏼
53,"Come, fall in love with #IshqDiBaajiyaan! My favorite, penned by #Gulzar saab, composed by @ShankarEshanLoy and sun… https://t.co/hfinBDmv6C"
54,"RT @sonypicsprodns: The countdown begins! #IshqDiBaajiyaan will make your hearts sing! Out in one hour.

@diljitdosanjh @taapsee @Imangadbe…"
55,😍😍😍 https://t.co/RMt2hUWYrM
56,Only a few more hours to go ! Ishq di baajiyaan penned by the great #Gulzar Saab and music by @ShankarEhsanLoy… https://t.co/ejy0hiO3QH
57,"All set to score a goal in love ! 
Come fall in love with this beautiful track from my next release #Soorma https://t.co/JrcLpcPj36"
58,"Andddddd..... we are back!!!!!! 

🧐 Even my own camera prefers to focus on him! #Rockstar #Badla #SujoyGhosh https://t.co/r2tk0htfjw"
59,RT @diljitdosanjh: Tomorrow 😍 #IshqDiBaajiyaan With One &amp; Only #GulzaarSaab &amp; Hamare Baut Hee Pyare @Shankar_Live @ShankarEhsanLoy Ji 😊🙏…
60,Get set..... https://t.co/CYwdtG86VY
61,"Challenge your limits. Don't limit your challenge! 
Can you break the 145/kmph drag-flick speed record of India's H… https://t.co/iy2Nw3ddyD"
62,I am waiting as impatiently as you all 😁 #IshqDiBaajiyaan #Soorma https://t.co/QQEafA585R
63,"Suniye mera favourite gaana ..... #Gulzar Saab aur @ShankarEhsanLoy ke pyaar bhare jazbaat, aur aapke ‘on screen’… https://t.co/eb63RWYLhi"
64,The moment when girls way younger to you can… https://t.co/oqfcejTRH8
65,"Eid Mubarak sabko!!! 🤗 bohot Saara pyaar aur khushiyaan ❤️
ab khaane pe toot padhoooooo!!! 🥘"
66,@juniorbachchan @anuragkashyap72 But isn’t that veg???
67,My favourite one from the album! https://t.co/2YlW8ntrTo
68,"RT @diljitdosanjh: One of my toughest roles till date! 
https://t.co/jLWx21rkra
@flickersingh paaji, thank you for mentoring me all the way…"
69,@Riteishd @sujoy_g Please do 🙏🏼 aapko humaare unit ki duaaein lagengi
70,@sujoy_g Today we will try a different expression haan !
71,@Shibasishsarkar @SunirKheterpal @SrBachchan @iamsrk @RedChilliesEnt @sujoy_g @_GauravVerma @PuriAkshai… https://t.co/w6sUjRDJIu
72,"All set to repeat the magic 😉 
@SrBachchan
 @sujoy_g  @RedChilliesEnt @iAmAzure
@sunirkheterpal @puriakshai https://t.co/2BuqhcqFi2"
73,@sujoy_g @SrBachchan But where is the party? Why wasn’t I invited for it !?? I thought we are a part of the same team ???!!!
74,@sujoy_g Aur darr mein Shahrukh 😎
75,@Salilacharya @sujoy_g U should be live present on our sets to see it n believe it!
76,@sujoy_g Are u scaring me !!!!??
77,"RT @NGEMovies: Take a moment &amp; Caption this!

@taapsee #DavidDhawan #SajidNadiadwala @WardaNadiadwala #Judwaa2 https://t.co/4dOZQjEmPs"
78,@Nnidhisin We r also waiting here. In Scotland. When r u coming ???
79,@varunsharma90 @diljitdosanjh @Imangadbedi Thankq Varun 😁
80,@vrindaprasad @sonypicsprodns @flickersingh @diljitdosanjh @Imangadbedi @shaadesh @SnehaRajani @IChitrangda Thankq 😁
81,"RT @diljitdosanjh: ＳＯＯＲＭＡ

Trailer - https://t.co/xt3E4y0job

@sonypicsprodns @taapsee @Imangadbedi @flickersingh @SnehaRajani #ShaadAliSir…"
82,@ShoojitSircar @Imangadbedi Arre wah! U liked !!! Divine moment for us !
83,@sidd_rao What all a struggling actor has to do 😢 and thank u bro! Will we collect well in chennai u think 🧐
84,"Setting the right mood 🤓 
#ProjectNumber26 https://t.co/5KHSzfWwQ2"
85,@sujoy_g U need to answer my questions 💁🏻‍♀️
86,"From the first day of shoot for #Soorma 
What a challenge and at the same time an honour to be playing this sport!… https://t.co/dL8VFHl2Bc"
87,@aliaa08 @diljitdosanjh Thankq Alia :)
88,@RanveerOfficial @diljitdosanjh Thankq gully boy !
89,😂👏🏼 https://t.co/Pn9zdUaA90
90,@sidkannan @diljitdosanjh @SnehaRajani @sonypicsprodns @shaadesh @IChitrangda @Imangadbedi @ShankarEhsanLoy… https://t.co/blll8jZ9W6
91,@PulkitSamrat @shaadesh @diljitdosanjh @Imangadbedi @SnehaRajani @IChitrangda Thankq :)
92,@devireddyshashi Thankq shashi
93,@ShaileshRSingh @diljitdosanjh Thankq 🙏🏼
94,@juniorbachchan @shaadesh @Imangadbedi @diljitdosanjh Thankq AB 🤗
95,@HeroManoj1 Thankq rockstar 😘😘😘🤗 I am sure u will enjoy watching it 😁
96,Make this a 100 crore film n then we shall discuss this :) https://t.co/At6IQVjjhQ
97,With such a heart warming response to #Soorma my faith in good content is restored. As I always say “jiska koi nahi… https://t.co/clLpI2n2ij
98,@alifazal9 🙌🏼😘
99,@crhemanth 💪🏼
100,@RanaDaggubati Thankq for always having my back
101,@NinoyV Lol. U r the one who left us !!!
102,@Rakulpreet @sonypicsprodns @flickersingh @diljitdosanjh @Imangadbedi @shaadesh @SnehaRajani @IChitrangda This time “net phaad denge”
103,@LakshmiManchu 😘😘😘
