,0
50,"Ranbir fans saying #sanju is awesome but normal and neutral people saying , we did not see what se wanted, we didnt… https://t.co/fTZiEz6z6y"
51,"#Sanju Collection update :

Multiplex : Performing very well
Single screens : Performing ok ok but will go down fro… https://t.co/QRZHLy06Pb"
52,"Beta, jyada mat bol. Aur aukaat me reh https://t.co/ChqyYNLoRz"
53,Did you like #Sanju ? #SanjuReview
54,@basak_sanam Sahi kaha sanam.   She is chutiya 😂😂
55,"There is a STRONG BUZZ that @BeingSalmanKhan will ACCEPT  #Dhoom4

And if this happens then ALL RECORDS will be sma… https://t.co/KfOTHNK7L5"
56,@basak_sanam Kat is badluck?
57,"21 Followed, 6 Unfollowed me (monitored by https://t.co/ZIgtIQhsJR)"
58,"RT @ippatel: Md. Imran raped 7 yr old Hindu girl in Mandsaur &amp; tired to kill her, she is struggling in Indore Hospital. People come out dem…"
59,"RT @KapilMishra_IND: मंदसौर में 7 साल की बच्ची के साथ मो. इमरान ने बलात्कार किया और हत्या की कोशिश की

विरोध में लाखों लोग सड़क पर उतरे हुए…"
60,"If people want to watch everything related to Bombay bomb blasts and alleged involvement of Sanjay dutt in it, then… https://t.co/JZT220Fvbw"
61,"Second half - nice but the way Sanjay had to tell. 

Performance is just mind blowing and Ranbir sure to earn all a… https://t.co/5Qgja2ge2u"
62,@basak_sanam Thanks sanam 🙏
63,"#SanjuReview
ZAKASS first half 👋👋👋👌🏻👌🏻👌🏻"
64,RT @ANI: Maharashtra: Uddhav Gadekar from Buldhana offers hair cutting &amp; shaving service using silver razor to serving &amp; ex-servicemen for…
65,"Good morning #Sanju fans. 🙂🙂🙂

Happy Friday https://t.co/5UGq5M5o7w"
66,RT @SarcasticNetaa: @KapilMishra_IND @KamalRKaan @ArvindKejriwal @SatyendarJain Mumbai after 10 minutes of Rain This Morning. @Dev_Fadnavis…
67,Average https://t.co/lbARji1Pod
68,"RT @KapilMishra_IND: Delhi after 10 minutes of Rain this morning 

All Thanks to @ArvindKejriwal
&amp; @SatyendarJain

बनाना था लंदन
बना दिया…"
69,Gained 17 followers and lost 4 (stats by https://t.co/ZIgtIQhsJR)
70,"RT @DrKumarVishwas: 3 में से जिस 1 मुद्दे पर देश की सेना के पक्ष में होने पर मुझे “तथाकथित राजनैतिक नुक़सान” पहुचायाँ गया था,आज उसी शौर्यगा…"
