,0
0,RT @asishkumar208: Thanks to @karanjohar chutiya that this #Zingaat is nothing but #ZingaatRuined https://t.co/52S7P62VW6
1,Sairat actors to Dhadak actors. #ZingaatRuined 😂😂 https://t.co/URz1xNAUEd
2,"RT @NatkhatGujarati: Pic 1: Zingaat from Sairat
Pic 2: Zingaat from Dhadak
 #ZingaatRuined #SayNoToDhadak https://t.co/sNlfEO2i00"
3,RT @TheRobustRascal: #ZingaatRuined https://t.co/HTIxVaQUyX
4,"RT @swatic12: Audience searching for lyrics, beats,  energy in Karan johar’s zingaat in hindi #ZingaatRuined https://t.co/t2Ro40YzIm"
5,"RT @taparia_ruchika: How I insult my best friend:
Teri shakal toh naye wale zingaat se bhi buri hai
#zingaatRuined #dhadak"
6,#zingaatRuined https://t.co/kZrRw7eoCt
7,3 mins of the remade Hindi #Zingaat &amp; I already have to watch the original one twice to undo what this one has done… https://t.co/buH2iD5eNw
8,"RT @i_upasana: RT if you love the Original and pure version of #Zingaat
#zingaatRuined https://t.co/fufYoRLbX0"
9,"RT @SmokingSkills_: Zingat from Sairat
Zingat from Dhadhak

#ZingaatRuined https://t.co/uY8WMdaJmZ"
10,"Hey Hindi wale Zingaat? 
Now that's about right! 😂😂😂😂😂
Loved the Marathi one more ❤
#Zingaat #Zingaathindi… https://t.co/wactGj2XT7"
11,RT @indiantweeter: Karan Johar has murdered a pure song. He should be jailed. #ZingaatRuined
12,#zingaatRuined had to see this song thrice to find @TheFarahKhan magic. Unfortunately it's not there. Very poor and… https://t.co/o440sNY72R
13,RT @Yogifanclub_: It’s like comparing Sachin Tendulkar with Ahmed Shehzad only Ahmed Shehzad (Dhadhak) will like it. #ZingaatRuined https:/…
14,"RT @Dil_ka_aitbaar: Pic 1- Zingaat from Sairaat 😍
Pic 2- Zingaat from Dhadak 😒
#ZingaatRuined
Who agrees with me? 🙋😜 https://t.co/c7ZPcSCvY5"
15,RT @WannabeSanyasin: Just read the lyrics for Hindi #Zingaat. I don't know how it will sell. This is insulting to legendary and struggling…
16,"Dhadak is the only scam that happened during Modi Govt. 😉

#zingaatRuined"
17,"RT @PuneriSpeaks: करण जोहर ने आयुष्यात खूप चूका केल्या असतील....

.
.
.
पण एकंदरीतच सोशल मीडियावर टीका पाहता...

#सैराट च्या नादाला नाही ला…"
18,"RT @Chandorkar: What Karan Johar has done to #Zingaat song...

#zingaatRuined https://t.co/Oswn1yMqHi"
19,"Now I know why #Dhadak songs are original &amp; not a remake of their #Marathi counterparts

The terrible… https://t.co/5NZ1a9dSxB"
20,"Sir we can not have foreign dancers in this film set in caste conflict background.

Karan Johar : ok, but there can… https://t.co/Cpa1CZP8KX"
21,"Pic 1: Sairaat
Pic 2: Dhadak
#zingaatruined https://t.co/Hwl9q4UyON"
22,"RT @Atheist_Krishna: Pic 1: Zingaat from Sairat
Pic 2: Zingaat from Dhadak
 #ZingaatRuined https://t.co/QJBBiUpzSa"
23,#zingaatRuined https://t.co/3MHKtwZrr7
24,"RT @Gadhvilaxman: Marathi vs hindi

#zingaatRuined https://t.co/q9YTudQnh9"
25,"RT @being_rajkumar: #Zingaat of Dhadak - Unnecessary Choreography

#Zingaat of Sairat - No Choreography

Winner #Zingaat of Sairat

Aishe h…"
26,"RT @Being_Humor: Just saw both the Zingat songs. Original one is so refreshing and subtle. @karanjohar has ruined the song totally. ☺️

Dis…"
27,"RT @ek_aalu_bonda: pic1,2-shows us why zingaat marathi version was so popular with masses!see lady &amp; daadi dancing to tunes of zingaat natu…"
28,RT @indiantweeter: Marathis be like Our Zingaat is our Zingaat none of your Zingaat #ZingaatRuined
29,RT @ColdCigar: Zingaat reviewed 😂 #ZingaatRuined https://t.co/UKOx7CmkFm
30,"RT @imsingha_35: After watching #Zingaat in Hindi.. 
Every #Zingaat Fan is like..

#zingaatRuined https://t.co/xlGaT3JTMt"
31,Please tell me that the people listening to the hindi version of #Zingaat is only so that they plan to complain abo… https://t.co/6nRrPrYFud
32,"RT @Dishasatra: Karan johar- check out our new zingat song from movie Dhadak
Audience-

#ZingaatRuined https://t.co/7NuKhMOzCR"
33,"After watching Zingaat from Dhadak
#ZingaatRuined https://t.co/SnMuJM9WpV"
34,#Dhadak makers should actually consider using the original #Zingaat soundtrack in their movie #zingaatRuined
35,"The remake of Zhingat is not complete without Nagraj Manjule drinking daaru in the background. 🤣

#ZingaatRuined #Zingaat"
36,RT @runjhunmehrotra: Yaar kam se kam gaana toh khud ka bana lete 😓😓 Bollywood has become a big bore parody of itself. Time to call it Parod…
37,@Being_Humor @karanjohar #zingaatRuined https://t.co/r9EIcmKVcy
38,"Amitabh Bhattacharya just ruined the originality of #Zingaat with his shitty lyrics
#Dhadak #zingaatRuined  @OfficialAMITABH @karanjohar"
39,Why the fuck would you ruin such an amazing song #zingaatRuined
40,"Music heals you when you are hurt.
But who would heal music when Music is hurt??
#zingaatRuined"
41,"You know how Hindi Zingaat sounds like?

Telugu/Tamil dubbed movies they show on Set Max, that's how.

#zingaatRuined"
42,"RT @_sinner______: Me after listening to Zingaat-
1- from Sairat
2- from Dhadak.
#ZingaatRuined https://t.co/AbVn5kvofP"
43,"RT @NaastikHu: Ab toh vo log bhi #Zingaat ko bekaar bolenge jinhone marathi version kabhi suna hee nahi
#Zingaat #ZingaatRuined"
44,RT @firkiii: 3700 dislikes so far while moron teenagers &amp; kjo's team liking the hindi zingaat. come on guys dislike as much as you can 🙏🙏🙏🙏…
45,"RT @ViratsFangirl18: Remaking of songs should be banned, literally. 
Ajay Atul had taken the centre when they sang Zingaat (Marathi version…"
