,Unnamed: 0,0
105,105,Badumbaaa.   Good night https://t.co/oqQUoyH742
108,108,RT @KapilMishra_IND: https://t.co/tAWgynnSHH
109,109,Worth thinking 👇👇👇👇👇 https://t.co/f2pnrYtNWW
110,110,"13 Followed, 5 Unfollowed me (monitored by https://t.co/ZIgtIQhsJR)"
111,111,This guy is different. He knows exactly what he is doing and importantly he knows how to mold @BeingSalmanKhan bhai… https://t.co/NElKdUp8Tu
112,112,"If @BeingSalmanKhan films can earn 150 cr nett with WAHIYAAT directors, wahiyaar story then imagine what he can do… https://t.co/AEAgqJWBQ3"
113,113,"Isko bolte hai TRAILER  #GoldTrailer

https://t.co/dPsKawxKf2"
114,114,"TERRIFIC TERRIFIC #GoldTrailer

What a trailer. All films MUST POSTPONE their release dates. 

Background score is… https://t.co/iQsBdfCYAO"
115,115,@ritikakshetrap1 @dare_beat @imVkohli @AnushkaSharma @BeingSalmanKhan @swachhbharat @iKamaIRKhan You may call this… https://t.co/OYMYZeknqd
116,116,"Teacher: Iss muhaavre ka udaahran do

‘Begaani shaadi mein Abdullah deewana’

Chantu: Hindustaaniyon ka raat bhar j… https://t.co/Pp17OyQ1VK"
117,117,"Our biggest fans this week: @SabinaLamba, @smojawala, @SunnyShines_. Thank you! via https://t.co/YW3ZTgIYAP https://t.co/JDKaN8m1zb"
118,118,"Goood morning people. 

M looking for the one who started trend #MondayMotivation 😡😡😡

Have a great week 🙏🙏🙏🙏👍👍"
119,119,Agle janam https://t.co/rpfwTnqeft
123,123,There is always a next time https://t.co/zN2WfvnTI4
124,124,200 cr lifetime. https://t.co/rBV5qymyGI
125,125,Awsome poster.  #FanneyKhan
126,126,120 to 140 cr lifetime https://t.co/YoGgPhokSw
127,127,"Not possible with #ज़ीरो #Zero for sure. 
He shd work on #Don3 ASAP https://t.co/TBXfakWlIt"
128,128,Respect women lukhhe https://t.co/KBtyiVJcX1
129,129,Everyone who does good.  We shd give chance to all. Wht say? https://t.co/7rHIfqmKKz
130,130,M good https://t.co/ixXw9VGJ3M
131,131,Its a clash. 50 to 60 cr nett would be HIT https://t.co/ba2pX4Zl07
132,132,8 wa ajooba https://t.co/hvgcFA1qID
133,133,Abe trailer aane de https://t.co/GkimHhxR9S
135,135,Kyon ki logon ne bollywood ka majaak bana ke rakha hai https://t.co/SUOmdz2hOi
136,136,Time ke hisab se jaroorat ban jati hai https://t.co/nww94yL9QU
137,137,Will go #Aiyyary way https://t.co/tC2xJQqtt3
140,140,"#Gold is looking good but too much competition will hamper. 
85 to 100 cr lifetime https://t.co/RomiEr1Jgd"
141,141,"Guys lets start Q &amp; A session. 

Use #AskPKRK"
142,142,Welcome to my new 12 followers and goodbye to 3 unfollowers (FREE stats by https://t.co/bpLMmfMPZE)
143,143,#Race3 collected strictly descent 5.5 cr nett in Saturday. Growth from friday was approx 30% due to single screens.… https://t.co/OmzIbOWX9o
144,144,"Happy Sunday guys. 

Lets have chat today evening 9PM

🙏🙏"
146,146,FYI @BeingSalmanKhan https://t.co/uhjskST7OL
147,147,"Congratulations Team India. You always make us PROUD. 

Mauka mauka 😂😂😂

#IndVsPak #Hockey https://t.co/zA0gYu5F7c"
148,148,"RT @SrBachchan: T 2846 -"" उपलब्धि और आलोचना 
एक दूसरे के पूरक हैं !
आपकी उपलब्धियां बढ़ेगी तो 
निश्चित ही... आलोचना भी बढे़गी !""~ Ef

achie…"
150,150,Last 24 Hours = 11 Followers and 8 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
151,151,BJP must be celebrating today #ShyamaPrasadMookherjee day like Diwali. 🙏🙏
152,152,"If #Sanju becomes flop then it can be big big problem to Ranbir. 

But i doubt it will be flop. Acting is superb. 🙏"
153,153,"Reports are out. 
In #Sanju , Hirani sahab tried to make Sanjay dutt great guy with NO mistakes. 

This cant be cal… https://t.co/oYnz1436uA"
154,154,"Good morning tweeple. 

Life is a RACE not #Race3 😂😂😂"
155,155,"BREAKING:-
कल रात से राम देव बाबा कोमा में है।सूत्रों का कहना है उन्होंने यह वीडियो देखा था।👇👇
😂😂😂 https://t.co/dNXroOadRJ"
156,156,"Good night people. Love you all. 

Happy weekend 👍👍 https://t.co/lsW1fRakE8"
157,157,Last 24 Hours = 11 Followers and 1 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
158,158,@basak_sanam True
159,159,"@basak_sanam Yeah i know these incidences. 
I condemn these both incidents. And I believe there are BAD elements in… https://t.co/n88GIVCwr9"
160,160,RT @BeingSalmanKhan: I thank every 1 who has gone to see #Race3 in the theaters n each n every 1 individually for watching race n glad that…
